"species";"result";"ViltID";"Ankomstdatum";"coords.x1";"coords.x2"
"Lärkfalk";"0";"VLT 2317/17";"2017-09-07";"15.5358925657741";"56.6295678747996"
"Slaguggla";"0";"VLT 2449/17";"2017-09-18";"17.1623414209572";"59.8813434987053"
"Havsörn";"0";"VLT 2470/17";"2017-09-19";"18.6535618168719";"60.2105019428639"
"Havsörn";"0";"VLT 2929/17";"2017-11-15";"21.546569804839";"65.293711076686"
"Havsörn";"0";"VLT 210/18";"2018-02-12";"18.8723914869878";"59.4394364403912"
"Gråsiska";"0";"VLT 222/18";"2018-02-14";"13.9620230085614";"58.1743123602247"
"Havsörn";"1";"VLT 594/18";"2018-03-27";"14.7122288597343";"56.1630520290408"
"Gräsand";"0";"VLT 1237/18";"2018-06-13";"12.982368398155";"55.5818957789577"
"Havsörn";"0";"VLT 1252/18";"2018-06-14";"19.2039385483235";"63.4193578183191"
"Ormvråk";"0";"VLT 1392/18";"2018-07-19";"17.5946046618052";"60.2801817369735"
"Havsörn";"0";"VLT 1987/18";"2018-10-02";"16.9489052950817";"59.5441036950321"
"Knubbsäl";"0";"VLT 2271/18";"2018-11-07";"12.9327761638056";"55.3920345243062"
"Lappuggla";"0";"VLT 2382/18";"2018-11-20";"14.6158423604757";"61.120635368234"
"Sparvhök";"0";"VLT 2484/18";"2018-11-28";"15.0586321000705";"60.712511624576"
"Duvhök";"0";"VLT 2518/18";"2018-12-04";"18.2256282789985";"59.2380608850952"
"Stadsduva";"0";"VLT 2582/18";"2018-12-12";"16.3198510637292";"58.4817502215833"
"Lappuggla";"0";"VLT 43/19";"2019-01-14";"19.0441909195996";"65.0215150766336"
"Gråsiska";"0";"VLT 100/19, Accnr.2019-6073";"2019-01-22";"16.9171536925442";"59.7753529685999"
"Havsörn";"0";"VLT 641/19, Acc.nr20196168";"2019-04-02";"13.4046081606014";"55.5630550923009"
"Sparvhök";"0";"VLT 850/19";"2019-05-08";"16.5521446106137";"61.8630525694092"
"Pilgrimsfalk";"0";"VLT 176/17";"2017-01-19";"18.4288410660443";"57.7964422468834"
"Bofink";"0";"VLT 251/17";"2017-01-27";"15.5600372522885";"58.2928475524692"
"Knölsvan";"1";"VLT 289/17";"2017-02-01";"18.1320283464961";"59.3251605015992"
"Björktrast ";"0";"VLT 1313/17";"2017-04-10";"17.6427706995773";"59.8485878729215"
"Havsörn";"0";"VLT 1852/17";"2017-06-30";"20.151964527075";"67.3203522381666"
"Stadsduva";"0";"VLT 2362/17";"2017-09-11";"17.6657043920511";"59.8534553315108"
"Tornfalk";"0";"VLT 2709/17";"2017-10-16";"14.0144728260313";"61.2550228469782"
"Kattuggla";"0";"VLT 2716/17";"2017-10-17";"14.2879400081209";"55.6147860919518"
"Stenfalk";"0";"VLT 2930/17";"2017-11-15";"21.5308949800691";"65.2356057814037"
"Havsörn";"0";"VLT 2894/17 Acc nr. 20176350";"2017-11-14";"20.6347203936284";"63.8013924756743"
"Havsörn";"0";"VLT 3073/17";"2017-12-19";"17.6292368501098";"60.2527782102418"
"Berguv";"0";"VLT 291/18";"2018-02-27";"13.432990608912";"57.8103369737799"
"Havsörn";"1";"VLT 826/18";"2018-04-24";"14.2735476038113";"56.1394466226092"
"Havsörn";"0";"VLT 1198/18";"2018-05-31";"17.0918346256287";"61.4196235834506"
"Gräsand";"0";"VLT 1235/18";"2018-06-13";"12.982368398155";"55.5818957789577"
"Skata";"0";"VLT 1277/18";"2018-06-19";"14.8295641149568";"63.0718689214772"
"Skata";"0";"VLT 1290/17";"2017-04-04";"14.8065747933356";"56.8767778484429"
"Havsörn";"0";"VLT 2747/17";"2017-10-18";"17.8601835134093";"59.6119257236838"
"Tornfalk";"0";"VLT 238/18";"2018-02-15";"12.9768533108306";"55.4379933071415"
"Ejder";"0";"VLT 730/18";"2018-04-11";"11.6486950970883";"58.1061861673259"
"Berguv";"0";"VLT 1410/18";"2018-07-25";"14.7207842275721";"56.8691826960693"
"Duvhök";"0";"VLT 1989/18";"2018-10-03";"15.6495767054899";"62.5445318472328"
"Lappuggla";"0";"VLT 2441/18";"2018-11-23";"20.6010884740578";"64.6557911893556"
"Ormvråk";"0";"VLT 365/19";"2019-02-20";"16.4603149554264";"59.3852130789644"
"Stadsduva";"0";"VLT 376/19";"2019-02-21";"12.6795967691853";"58.3415759157537"
"Pilgrimsfalk";"0";"VLT 925/19";"2019-05-16";"11.3036381758321";"58.4427059311005"
"Kanadagås";"0";"VLT 2606/18";"2018-12-17";"17.9653179001629";"59.3722811043981"
"Stadsduva";"0";"VLT 565/19";"2019-03-19";"15.2376742473166";"59.2810071427414"
